2024-03-13 19:49:28.010 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.10+7
2024-03-13 19:49:38.971 INFO  (searcherExecutor-14-thread-1-processing-restaurant_service) [c: s: r: x:restaurant_service t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-13 19:49:38.972 INFO  (searcherExecutor-14-thread-1-processing-restaurant_service) [c: s: r: x:restaurant_service t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-13 19:49:38.986 INFO  (searcherExecutor-14-thread-1-processing-restaurant_service) [c: s: r: x:restaurant_service t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-13 19:49:39.923 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/n11_restaurants/conf
2024-03-13 19:49:39.926 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2024-03-13 19:49:39.930 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-13 19:49:39.932 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-13 19:49:39.932 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-13 19:49:39.940 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-13 19:50:24.085 INFO  (qtp693267461-27-null-1) [c: s: r: x:n11_restaurants t:null-1] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=7 status=0 QTime=87
2024-03-13 19:50:24.430 INFO  (qtp693267461-19-null-2) [c: s: r: x:n11_restaurants t:null-2] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=7&wt=javabin&version=2} hits=7 status=0 QTime=17
2024-03-13 19:50:50.860 INFO  (qtp693267461-26-null-3) [c: s: r: x:n11_restaurants t:null-3] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[6ed9fbb7-ae9a-48ac-9688-078da0c0b593 (1793441871368814592)]} 0 244
2024-03-13 19:50:51.431 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants null-4) [c: s: r: x:n11_restaurants t:null-4] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-13 19:50:51.474 INFO  (searcherExecutor-15-thread-1-processing-n11_restaurants null-4) [c: s: r: x:n11_restaurants t:null-4] o.a.s.c.SolrCore Registered new searcher autowarm time: 11 ms
2024-03-13 19:50:51.500 INFO  (qtp693267461-25-null-4) [c: s: r: x:n11_restaurants t:null-4] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 623
2024-03-13 19:51:09.900 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@376a312c{STOPPING}[10.0.19,sto=0]
2024-03-13 19:51:09.915 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@2b95e48b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-13 19:51:09.961 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=1537371824
2024-03-13 19:51:09.970 INFO  (coreCloseExecutor-25-thread-1) [c: s: r: x:restaurant_service t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@36304343 restaurant_service
2024-03-13 19:51:09.972 INFO  (coreCloseExecutor-25-thread-2) [c: s: r: x:n11_restaurants t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@2a339870 n11_restaurants
2024-03-13 19:51:09.973 INFO  (coreCloseExecutor-25-thread-1) [c: s: r: x:restaurant_service t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.restaurant_service tag=SolrCore@36304343
2024-03-13 19:51:10.088 INFO  (coreCloseExecutor-25-thread-2) [c: s: r: x:n11_restaurants t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.n11_restaurants tag=SolrCore@2a339870
2024-03-13 19:51:10.100 INFO  (coreCloseExecutor-25-thread-1) [c: s: r: x:restaurant_service t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-03-13 19:51:10.169 INFO  (coreCloseExecutor-25-thread-2) [c: s: r: x:n11_restaurants t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-03-13 19:51:10.257 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2024-03-13 19:51:10.286 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2024-03-13 19:51:10.313 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2024-03-13 19:51:10.382 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,null,STOPPED}{/opt/solr-9.5.0/server/solr-webapp/webapp}
